title,owner,like,view,mid,bvid,url,author_href,author,following,follower,like_author,video_view,article_view
隔离一个月，我把我家猫养成了狗,森树Tree,3667,33262,349516380,BV1qS4y1h78s,https://www.bilibili.com/video/BV1qS4y1h78s,https://space.bilibili.com/349516380,森树Tree,60,132219,581954,10314301,3306
【WWE SD 05/21】两条腰带正式合并！毋庸置疑WWE双打冠军诞生！,WWE摔哥秀,2633,43422,440237866,BV1kv4y1A7AF,https://www.bilibili.com/video/BV1kv4y1A7AF,https://space.bilibili.com/440237866,WWE摔哥秀,26,87709,742134,17089735,2751546
这是一期价值上千的视频！,BBGG丶狮子喵,82181,977753,237311595,BV1Gr4y147zu,https://www.bilibili.com/video/BV1Gr4y147zu,https://space.bilibili.com/237311595,BBGG丶狮子喵,0,1159659,12057900,244177597,0
蛙泳游得太慢？如何提速？教学来了！,Lucas雨田-,967,34795,18505400,BV1f34y187rj,https://www.bilibili.com/video/BV1f34y187rj,https://space.bilibili.com/18505400,Lucas雨田-,7,11861,12631,615104,0
【柴崎爷爷的水彩画 官方中字】画具体验｜专业画家初次挑战ipad绘画软件！快来看看柴崎爷爷的AdobeFresco软件测评,柴崎爷爷的水彩画,9299,85839,1581688095,BV1WF411L76s,https://www.bilibili.com/video/BV1WF411L76s,https://space.bilibili.com/1581688095,柴崎爷爷的水彩画,4,61004,99300,759359,6706
重磅利好来了！3000点站稳了？,财经王安松,1326,29888,697048631,BV1cY4y1e7n2,https://www.bilibili.com/video/BV1cY4y1e7n2,https://space.bilibili.com/697048631,财经王安松,27,130679,519975,10178905,51138
坚持自律的1924天！能给你带来快乐的不止恋爱，还有努力的成就感，加油兄弟们！,自律的悍匪,13637,177677,73820664,BV1NU4y1U7Be,https://www.bilibili.com/video/BV1NU4y1U7Be,https://space.bilibili.com/73820664,自律的悍匪,55,567811,4201719,77461952,0
他什么都知道……,Sweetwish520,1654,17839,676567590,BV1pF411L7WJ,https://www.bilibili.com/video/BV1pF411L7WJ,https://space.bilibili.com/676567590,Sweetwish520,43,24,2854,23587,0
【六级】最全备考丨当你把六级考了8次之后,天莨菪碱,1184,17682,137877217,BV1AL4y1F7Yn,https://www.bilibili.com/video/BV1AL4y1F7Yn,https://space.bilibili.com/137877217,天莨菪碱,78,84429,147571,3990104,97765
十分钟，让你拥有职业选手同款反手发球，发网前，偷后场，单双打通用,米不糖同学丶,3491,47366,520201391,BV1j541127eq,https://www.bilibili.com/video/BV1j541127eq,https://space.bilibili.com/520201391,米不糖同学丶,27,19619,35882,745527,0
当导师知道我真名上网大结局,黄立涵,10013,166910,275260721,BV1E3411N7Vw,https://www.bilibili.com/video/BV1E3411N7Vw,https://space.bilibili.com/275260721,黄立涵,495,258007,1178970,20680224,28097
一天只吃番茄牛肉饭 体重会有什么变化？百日减脂day2,中元元儿,1133,16157,39366561,BV1Zv4y1K7oj,https://www.bilibili.com/video/BV1Zv4y1K7oj,https://space.bilibili.com/39366561,中元元儿,113,37216,314873,7316942,657
【王濛】解说返场！谁又把我摁回解说席了？,王濛,40992,323652,1527390033,BV1xY4y1C7hZ,https://www.bilibili.com/video/BV1xY4y1C7hZ,https://space.bilibili.com/1527390033,王濛,3,918497,1614614,15259288,0
当你用250分辰砂毕业魈，单人近百暴叉穿提瓦特是怎样的感受？！,风来也Fly,30002,539641,39682437,BV12R4y1A7oP,https://www.bilibili.com/video/BV12R4y1A7oP,https://space.bilibili.com/39682437,风来也Fly,133,13337,1068456,13565209,0
一招解决文综所有大题！手把手教你：考前就总结出考试中直接答的话！,咔嚓咔嚓邦邦邦,1429,18819,472150095,BV1iF411L7U6,https://www.bilibili.com/video/BV1iF411L7U6,https://space.bilibili.com/472150095,咔嚓咔嚓邦邦邦,255,1188,2550,35024,0
展望汤尤丨汤杯冠军的自我分析,陈金羽毛球,4513,41793,517528089,BV1zY4y1b7Me,https://www.bilibili.com/video/BV1zY4y1b7Me,https://space.bilibili.com/517528089,陈金羽毛球,46,180239,535263,9699837,9991
老板说我不行 我不信,侯翠翠,31520,663167,1458143131,BV1244y1u7L7,https://www.bilibili.com/video/BV1244y1u7L7,https://space.bilibili.com/1458143131,侯翠翠,5,297710,973455,25801385,0
